id_venta,fecha,vendedor,producto,unidades,precio_unitario,descuento,costo_envio,satisfaccion
V001,2026-08-01,Ana,Laptop,2,2500,100,25,5
V002,2026-08-02,Luis,Mouse,5,80,,15,4
V003,2026-08-03,Carla,Teclado,3,150,20,,5
V004,2026-08-04,Diego,Monitor,2,900,50,30,
V005,2026-08-05,Ana,Audífonos,4,120,10,20,4
V006,2026-08-06,Luis,Laptop,1,2600,,25,5
V007,2026-08-07,Carla,Mouse,,75,5,15,3
V008,2026-08-08,Diego,Teclado,2,160,15,20,4
V009,2026-08-09,Ana,Monitor,1,,30,30,5
V010,2026-08-10,Luis,Audífonos,6,110,25,20,4
V011,2026-08-11,Carla,Laptop,1,2550,120,25,5
V012,2026-08-12,Diego,Mouse,8,70,10,15,
V013,2026-08-13,Ana,Teclado,3,145,,20,4
V014,2026-08-14,Luis,Monitor,2,880,40,30,5
V015,2026-08-15,Carla,Audífonos,,130,10,20,3
V015,2026-08-15,Carla,Audífonos,,130,10,20,3
